F2876	󲡶	gyhghxn	1、掉（下），落（下）；2、（澜沧江）；
F2877	󲡷	gwgjxc	（麻痛）
F2878	󲡸	fjdxm	（当然了）
F2879	󲡹	gggjxn	（丛很狭窄的地方）通过
F287A	󲡺	fhogxn	耳语
F287B	󲡻	gjgkxn	
F287C	󲡼	ffgxn	1、（察觉）；2、（发现）；
F287D	󲡽	dkgxz	（白生生）
F287E	󲡾	ghgghxv	（寄生茶）
F287F	󲡿	ghghhxn	挺（肚子）
F2880	󲢀	gjgdxm	柜
F2881	󲢁	fhhgxv	秃
F2882	󲢂	fhgoxz	（土）坎
F2883	󲢃	gpfhxz	（脊椎凹陷处）
F2884	󲢄	fhghxm	1、阴（天）；2、冬眠；
F2885	󲢅	fhghxz	浅
F2886	󲢆	fjthxz	拉（屎）
F2887	󲢇	fhghxz	不好
F2888	󲢈	ghjrxb	些
F2889	󲢉	gyjgxn	1、阻挡，阻拦；2、堵截；
F288A	󲢊	gtfhhxn	低，矮；
F288B	󲢋	ghgjxn	（盟誓）
F288C	󲢌	ghfhxb	1、丢（脸）；2、（象声词）；
F288D	󲢍	gjhhdxn	1、（高兴得发狂）；2、（重叠词缀）；
F288E	󲢎	ghhgdxm	（渣蓬蓬（形容树木枝叶繁茂）
F288F	󲢏	gqpghxc	（重叠词缀）
F2890	󲢐	ghhgjxn	（角落）
F2891	󲢑	ghghhxb	（卧倒，倒下）
F2892	󲢒	fyjxv	1、衣（古语）；2、（彝语古部落名称）；3、（彝语古星星用词）；4、（汉族）；
F2893	󲢓	ghdjjxc	渐渐
F2894	󲢔	fhghxz	1、泣；2、（形容词缀）；
F2895	󲢕	ghhghxb	假
F2896	󲢖	gjthxn	有
F2897	󲢗	gkgxn	（楼）梯
F2898	󲢘	gghhhxc	1、市镇；2（街道，场坝）
F2899	󲢙	ghghgxm	和平
F289A	󲢚	ghgjxb	（鸟）鸣叫
F289B	󲢛	gkfxn	搂
F289C	󲢜	fhhhxz	胜
F289D	󲢝	ghgpgxn	歪斜
F289E	󲢞	fhhhgxn	柚栗子（一种灌木，生长在高寒山区）
F289F	󲢟	ghjthxn	掺和
F28A0	󲢠	fjrxn	肥料，粪
F28A1	󲢡	ghjghxn	弓
F28A2	󲢢	gjhgxn	（人命）债
F28A3	󲢣	fhgtxn	1、手下；2、（管辖，辖区）
F28A4	󲢤	gkmxn	1、日；2、太阳；3、（福禄、福禄神）；4、（东方）；
F28A5	󲢥	gkdxv	投降
F28A6	󲢦	gkgxn	炉、堆（量词）
F28A7	󲢧	gghhhxn	凸；突出
F28A8	󲢨	ghgfxb	1、（祖）宗；2、祖灵，（祖宗的）神位；
F28A9	󲢩	fhghxn	睡（醒）
F28AA	󲢪	ggkxn	闲
F28AB	󲢫	ghgugxc	（祭祀用的）猪
F28AC	󲢬	ghgghxc	制作
F28AD	󲢭	gkgxn	佩服
F28AE	󲢮	ghghhxn	（胡椒）
F28AF	󲢯	ghjqxn	谁人
F28B0	󲢰	gugjxz	印（动词）
F28B1	󲢱	fjooxm	恩情
F28B2	󲢲	gjgfxz	柜子
F28B3	󲢳	ghfhxv	头、只、根、条、课（量词）
F28B4	󲢴	ghgiixb	1、皮壳；2、（花生）；
F28B5	󲢵	gjgjxz	（山）谷
F28B6	󲢶	gkqxn	1、（自然成）团；2、团结
F28B7	󲢷	ggkxn	上（状态动词）
F28B8	󲢸	gjfxv	1、（政令，政策）；2、人名用词；
F28B9	󲢹	dgdxm	1、花（动词）；2、花斑
F28BA	󲢺	djxz	处、圈（量词）
